words,Class
"['buen', 'atencion', 'aclar', 'dud', 'part', 'señorit', 'veron', 'castill', 'atent', 'amabl', 'cuestion', 'labor', 'ideal', 'descans', 'buen', 'habitacion', 'limpiez', 'orden', 'buen', 'com', 'part', 'restaur', 'varied', 'com']",5
"['buen', 'hotel', 'si', 'oblig', 'cerc', 'centr', 'convencion', 'restaur', 'necesit', 'mejor', 'fri', 'caf', 'floj', 'monton', 'pan', 'person', 'sirv', 'uderstanding', 'bu', 'signif', 'servici', 'barri', 'tan', 'poc', 'opcion', 'deb', 'ser', 'hotel', 'especial']",3
"['lug', 'lind', 'fotograf', 'visit', 'selin', 'music', 'viv', 'cervez', 'artesanal', 'buen', 'com']",5
"['abus', 'factur', 'aliment', 'siempr', 'echan', 'culp', 'van', 'busc', 'rfc', 'proporcion', 'independis', 'bas', 'registr', 'aliment', 'bas', 'check', 'in', 'pas', 'dias', 'aun', 'nadad', 'factur', 'aunqu', 'habl', 'larg', 'distanci', 'qued', 'formal', 'fe', 'enviartel', 'moment', 'asi', 'mañan', 'vez', 'voy', 'ten', 'habl', 'colm', 'ticket', 'dieron']",3
"['par', 'person', 'grup', 'realment', 'quer', 'com', 'cabrit', 'rest', 'buen', 'prob', 'servici', 'empez', 'realment', 'bien', 'lleg', 'situ', 'ped', 'pregunt', 'acerc', 'com', 'agreg', 'sustitu', 'element', 'camarer', 'casi', 'parec', 'molest', 'clar', 'com', 've', 'menu', 'unic', 'opcion', 'apart', 'com', 'ambient', 'genial']",3
"['complej', 'enorm', 'fortif', 'frent', 'antigu', 'haban', 'visit', 'dia', 'lad', 'castill', 'trinc', 'agu', 'elev', 'metr', 'mar']",4
"['acab', 'volv', 'cub', 'primer', 'seman', 'tryp', 'haban', 'libr', 'pued', 'recomend', 'nadi', 'primer', 'imag', 'vestibul', 'bastant', 'bien', 'sal', 'ascensor', 'pis', 'pud', 'evit', 'olor', 'moh', 'tras', 'par', 'noch', 'enorm', 'fug', 'agu', 'bañ', 'cambi', 'habit', 'segund', 'habit', 'tan', 'fri', 'llev', 'corder', 'grill', 'calcetin', 'lan', 'suet', 'mientr', 'duerm', 'recepcion', 'antipat', 'desayun', 'bien', 'pis', 'club', 'nocturn', 'terribl', 'band', 'ruidos', 'mal', 'bañ', 'ir', 'hotel', 'deb', 'ser', 'renov', 'complet', 'buen', 'vist']",2
"['hol', 'noch', 'dias', 'hotel', 'lueg', 'hab', 'tres', 'noch', 'ciud', 'amurall', 'cre', 'mejor', 'combin', 'hic', 'pues', 'pens', 'dias', 'dentr', 'ciud', 'for', 'dim', 'cuent', 'cuid', 'tres', 'dias', 'tampoc', 'ir', 'san', 'andres', 'si', 'decid', 'ir', 'hotel', 'qued', 'cerc', 'inclu', 'habit', 'jacuzzi', 'recom', 'pues', 'cer', 'privac', 'prim', 'dia', 'lleg', 'espum', 'bañ', 'gel', 'duch', 'ped', 'funcionari', 'pas', 'pati', 'terraz', 'ahi', 'mism', 'pregunt', 'necesit', 'rei', 'pues', 'realid', 'gracios', 'final', 'nunc', 'lleg', 'espum', 'segun']",3
"['sal', 'viaj', 'escuch', 'opinion', 'negat', 'ciud', 'amurall', 'pued', 'alej', 'realid', 'espectacul', 'ahi', 'com', 'exelent']",5
"['impos', 'pas', 'monterrey', 'sub', 'vist', 'espectacular', 'visit', 'muse', 'si', 'pareci', 'dedic', 'tiemp']",3
"['despues', 'pandemi', 'prepar', 'aliment', 'atencion', 'decay', 'pan', 'mal', 'ahor', 'ofrec', 'ques', 'amarill', 'l', 'ensal', 'raquit', 'especial', 'parec', 'cambi', 'chef', 'pen']",3
"['fortalez', 'sigl', 'tercer', 'grand', 'amer', 'situ', 'junt', 'entrad', 'bah', 'haban', 'lug', 'pintoresc', 'disfrut', 'vist', 'haban', 'viej', 'situ', 'debaj', 'orill', 'opuest', 'magnif', 'llen', 'histori', 'gran', 'lug', 'explor', 'hor', 'dos', 'men', 'concurr', 'castill', 'pequeñ', 'morr', 'punt', 'tierr', 'guardi', 'entrad', 'bah', 'haban']",4
"['equivoc', 'central', 'reserv', 'lleg', 'hotel', 'cobr', 'pod', 'aloj', 'habit', 'recam', 'pus', 'sol', 'huesp', 'comun', 'acab', 'pag', 'engañ']",1
"['dificil', 'result', 'dar', 'opinion', 'lug', 'lad', 'hij', 'divirt', 'hac', 'valg', 'pen', 'demasi', 'are', 'oportun', 'niñ', 'ves', 'principi', 'acces', 'car', 'adult', 'pues', 'hac', 'cobr', 'niñ', 'si', 'derech', 'activ', 'acces', 'comienz', 'mal', 'servici', 'desafortun', 'ten', 'sol', 'jovencit', 'import', 'si', 'hac', 'bien', 'mal', 'trabaj', 'hac', 'pag', 'arrepint', 'ir', 'ademas', 'ser', 'lent', 'explic', 'guardi', 'actitud', 'prepotent', 'hac', 'pregunt', 'sencill', 'contest', 'car', 'peor', 'actitud', 'pag', 'acces', 'explic', 'tard', 'minut', 'entend', 'dinam', 'jovencit', 'cad', 'activ', 'ven', 'fastidi', 've', 'quier', 'ahi', 'explic', 'apart', 'enoj', 'baj', 'avion', 'activ', 'acces', 'abiert', 'abaj', 'nadi', 'control', 'prohib', 'tom', 'fot', 'hij', 'activ', 'aun', 'ningun', 'letrer', 'fin', 'servici', 'client', 'falt', 'muchisim', 'final', 'niñ', 'diviert', 'pas', 'tard', 'agrad', 'jug', 'ser', 'grand', 'pued', 'dec', 'val', 'pen', 'vay', 'prepar', 'hac', 'coraj']",3
"['ubic', 'plaz', 'chorr', 'queved', 'restaur', 'ofrec', 'music', 'viv', 'bastant', 'buen', 'aunqu', 'volum', 'exager', 'interior', 'local', 'com', 'tremend', 'decepcion', 'esper', 'intermin', 'com', 'mediocr', 'preci', 'bastant', 'car']",2
"['reserv', 'hotel', 'recomend', 'cub', 'direct', 'explicit', 'dij', 'quer', 'hotel', 'mejor', 'aniversari', 'bod', 'quer', 'especial', 'critic', 'genial', 'cub', 'direct', 'convenc', 'sid', 'renov', 'recient', 'solicit', 'habit', 'nuev', 'asi', 'inocent', 'respond', 'segu', 'consej', 'ubic', 'buen', 'lleg', 'tard', 'noch', 'estanci', 'noch', 'sol', 'encontr', 'design', 'dos', 'cam', 'individual', 'ped', 'cambi', 'echaron', 'dijeron', 'llen', 'simil', 'comentari', 'aqu', 'servici', 'habit', 'restaur', 'bar', 'cerr', 'asi', 'cen', 'buffet']",2
"['recomend', 'amig', 'lleg', 'pm', 'cen', 'deci', 'googl', 'abiert', 'lleg', 'result', 'abri', 'pm', 'nom', 'quis', 'recib', 'gerent', 'dueñ', 'capit', 'tajant', 'veni', 'much', 'hambr', 'com']",1
"['histori', 'cultur', 'buen', 'arquitectur', 'tradicion', 'emblemat']",3
"['com', 'bien', 'buen', 'preci', 'abund', 'dej', 'recomend', 'camarer', 'aciert', 'repetiri']",4
"['hotel', 'precios', 'unas', 'habit', 'grand', 'preci', 'bar', 'hotel', 'excelent', 'desayun', 'buen', 'discotec', 'coch', 'antigu', 'muestr', 'enfrent', 'malecon', 'vist', 'lind', 'marl', 'pilet', 'lindan', 'van', 'arrepent']",5
